gsm,gsm_count,percent_in_universe
Bisexual Characters,19,0.11601636441350674
Genderfluid Characters,1,0.006106124442816144
Homosexual Characters,66,0.40300421322586555
Pansexual Characters,1,0.006106124442816144
Transgender Characters,2,0.012212248885632288
Transvestites,1,0.006106124442816144
none,16287,99.45044880014655
