state,total_loans,total_undisbursed_loans,percent_undisbursed
MP,1,1,100
DC,259,46,17.760617760617762
DE,262,44,16.793893129770993
WI,1271,209,16.443745082612114
AR,1076,176,16.356877323420075
LA,2862,454,15.86303284416492
NV,1874,296,15.795090715048026
TN,2448,385,15.727124183006536
IL,11080,1713,15.460288808664261
NY,3854,594,15.412558380902958
